strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown
Buy and hold,0.2351605370757115,0.15205761455135436,0.2842106861186504,0.6412195818241991,-0.33924960002653304
Classical signal,0.0956073513037552,0.06310765521768746,0.12502309611693438,0.5523819219822952,-0.18041966233975215
Classical + TDA signal,0.12718583209693302,0.08354776881550552,0.124608997762462,0.7066163170234991,-0.17911217958990355
