date,Buy and hold,Classical signal exposure,Classical signal,Classical + TDA signal exposure,Classical + TDA signal
2019-01-03,-0.02475673039503723,0.33699528041941773,-0.008342901301743493,0.33922417789710324,-0.008398081515676732
2019-01-04,0.03433571464262353,0.5284311392748897,0.01804834287699133,0.30596554980299373,0.010488916494461955
2019-01-07,0.007010434848680358,0.44270131086362596,0.003060663783029208,0.44763659001752676,0.003067291630096045
2019-01-08,0.009695285023358924,0.45299982031252173,0.004386813118735828,0.46379831305232144,0.004488575976877908
2019-01-09,0.004098045450532162,0.7453364195001514,0.002908254223454711,0.7478931015678953,0.0029228525281069146
2019-01-10,0.004518418782931244,0.7508624852095815,0.003389948123714691,0.7030799279266148,0.003154402965424921
2019-01-11,-0.00014629784190933748,0.7798944538565623,-0.00012861285983976683,0.7492002237305617,-0.00013266652379174745
2019-01-14,-0.005257525167898014,0.8056278390219095,-0.004248475332199652,0.7862464724464608,-0.0041522337414162495
2019-01-15,0.010721688622945758,0.7410311519740226,0.007912806927844324,0.7412377484763035,0.007924815972751234
2019-01-16,0.0022219854881162515,0.7730129670136077,0.0017016326873101303,0.7696982149445243,0.0016960280306016057
2019-01-17,0.0075914003822110665,0.8889995108611157,0.00669075795461277,0.8911100001706111,0.006704066903274237
2019-01-18,0.01318305304897005,0.9040843832094287,0.01191104994842111,0.9144174293935134,0.01204315976598606
2019-01-22,-0.014157306164566674,0.9017922047217573,-0.012768094428309342,0.9192321658287712,-0.013016258576173268
2019-01-23,0.0022029127742235755,0.9005023465157904,0.001983083193254956,0.8938159959340142,0.0019562905903010284
2019-01-24,0.0013757255543636049,0.9404989850175084,0.0012738701682907603,0.9380073458626987,0.0012683450009197527
2019-01-25,0.008488694060713842,0.8949652164722143,0.0075743190333405165,0.9015697508524806,0.007634930991875601
2019-01-28,-0.007846827493937836,0.933580486684427,-0.007344952665825333,0.9299600634537026,-0.007311431350473299
2019-01-29,-0.0014562465775435074,0.9374115214492134,-0.0013670178372426622,0.9397861652303054,-0.001373473437627671
2019-01-30,0.01554926091974429,0.9159905585468899,0.014232265713416736,0.9018251251329618,0.014003733654624794
2019-01-31,0.008597395948725328,0.9348416790570364,0.008027778503969475,0.9327118149768736,0.008003449434488465
2019-02-01,0.0008986100931438479,0.9160654003782432,0.0008137974754203528,0.9024201926376227,0.0007957780821913579
2019-02-04,0.006776236617404008,0.9553814139336214,0.006454232513906532,0.9574377896510637,0.006460316210613173
2019-02-05,0.00470842037697472,0.9775921543446763,0.004591809449681562,0.9789238560913779,0.004598441998307155
2019-02-06,-0.0022244379802809355,0.9803308779887855,-0.002182054600062465,0.9801420394967195,-0.0021808742704291905
2019-02-07,-0.009357140143940179,0.975585067817038,-0.009131059106985282,0.9716979307386765,-0.009096535769877496
2019-02-08,0.0006762010869560964,0.9612013968685785,0.0006427735938720212,0.9546299198458703,0.0006369877839941855
2019-02-11,0.0007091030986317026,0.975585067817038,0.0006845985590936516,0.9716979307386765,0.0006805000081744059
2019-02-12,0.0128902247439735,0.96792819638336,0.01247298355169359,0.9812448020949607,0.0126436925921817
2019-02-13,0.003023994668760688,0.9751654968221009,0.00294527661333003,0.9784793863476094,0.0029575337399337246
2019-02-14,-0.002651641555101225,0.9803308779887855,-0.0026020687844072747,0.9801420394967195,-0.0025998166884057226
2019-02-15,0.01087875260858695,0.9782822887881402,0.01064146670648807,0.9772161077486915,0.01062942931545025
2019-02-19,0.0014987433214488366,0.9751654968221009,0.0014599643796864407,0.9760894546543755,0.0014623442247527242
2019-02-20,0.0017771107537685182,0.9803308779887855,0.0017395738549418616,0.9798753475852852,0.00173945407108102
2019-02-21,-0.003526436790880272,0.9729759076070603,-0.003434815522416524,0.9771946741808685,-0.003447355587585883
2019-02-22,0.006411102394986878,0.9775219508404288,0.006264720298568635,0.9766359929700222,0.006261034012955075
2019-02-25,0.0012318625699112573,0.9775921543446763,0.0012042240818239919,0.9789238560913779,0.0012047557255514846
2019-02-26,-0.0007904570968998437,0.974698844021712,-0.0007719042737585181,0.979607132130256,-0.0007746790477855027
2019-02-27,-0.0005440493877303387,0.970798339679625,-0.0005301124944833729,0.9805883860737284,-0.0005339791380306292
2019-02-28,-0.0028255083152146643,0.9784576547091974,-0.0027684698969810623,0.979961180264341,-0.002769202066329166
2019-03-01,0.00689532059343434,0.9754646318105415,0.006724644852440745,0.975809402228358,0.006726442777434058
2019-03-04,-0.003880558492514008,0.9718329812261375,-0.003773070553894496,0.976717774167291,-0.0037906646393037263
2019-03-05,-0.001131532823106185,0.9754646318105415,-0.0011055860739650194,0.9720794458373889,-0.0011022589637968276
2019-03-06,-0.006524098653592381,0.9784576547091974,-0.006385050779134762,0.9761000065959958,-0.006370183019183753
2019-03-07,-0.00812571755868352,0.9746695024636737,-0.007921783166205166,0.9754102561172913,-0.007926253120291616
2019-03-08,-0.0021316888487414865,0.9658476578030679,-0.002063297604052186,0.9660066633415753,-0.0020639274284430654
2019-03-11,0.014666041867757107,0.9717882957934497,0.01424931751370787,0.9739612405964441,0.014280179043532666
2019-03-12,0.0029533182046204143,0.9824190452520692,0.002896080676179433,0.9824409032968378,0.0028972207733200784
2019-03-13,0.006949583813841809,0.9763159811829886,0.006781938207989841,0.9760891714212747,0.006780237640637772
2019-03-14,-0.0008680223820187738,0.9748548876686236,-0.0008469264084739453,0.9750245759605884,-0.0008468754526824979
2019-03-15,0.00498490290027398,0.9784576547091974,0.004875715017234868,0.9793212259186068,0.004879672894402523
2019-03-18,0.0037059469012648005,0.9795701778966313,0.0036296788037537132,0.9802148882814381,0.0036321774966188024
2019-03-19,-0.0001305615560248663,0.9767280489755643,-0.00012894419834791497,0.9796701590313652,-0.0001281796249792997
2019-03-20,-0.0029443536044478913,0.9744420474397678,-0.0028702449554727618,0.9765685066095928,-0.002876913828637135
2019-03-21,0.010852481049954399,0.9632973157040579,0.010448593498282373,0.9635573040362349,0.010450481781311709
2019-03-22,-0.018974501239482744,0.9759890410790579,-0.018525251132363658,0.9636724532605759,-0.018285261733460345
2019-03-25,-0.000839020658475631,0.9165705167173702,-0.0007987308606564012,0.8835746311621854,-0.0007813862798992548
2019-03-26,0.007182725862306283,0.9807863068669839,0.007012611276654544,0.9795452624718339,0.006987819774401213
2019-03-27,-0.0046443248906916645,0.9732906548206546,-0.00452402584008432,0.9735807319532944,-0.0045246074917677645
2019-03-28,0.003589481529391092,0.9788616089836072,0.003510820188195227,0.9796490323669444,0.003513397956760178
2019-03-29,0.0067342800173637585,0.9831731247809757,0.006618807369922926,0.9830449851734876,0.006618402223420198
2019-04-01,0.011568600124275408,0.9876881881216626,0.011423912164179274,0.9865975742677214,0.011411776525736262
2019-04-02,1.745570720723677e-05,0.9813177261946987,1.3944363942244057e-05,0.9773455501424964,1.243424570097062e-05
2019-04-03,0.002148376881724312,0.9876167081599966,0.0021186234128329545,0.985988086673602,0.002113952742799601
2019-04-04,0.0020846350796801527,0.9861395768029313,0.002055002589585798,0.984197976633042,0.0020507985724191866
2019-04-05,0.004636432770241061,0.9866124088703482,0.0045741256879792466,0.9845932936934367,0.004564802953709634
2019-04-08,0.0010474599539205265,0.9866124088703482,0.0010334369883327546,0.9847984333347211,0.0010314343517811514
2019-04-09,-0.006067494393846573,0.9876167081599966,-0.005992860989674811,0.985988086673602,-0.0059830720149610305
2019-04-10,0.0034778715639784963,0.9858778476454065,0.0034278871016249885,0.9845985564642439,0.0034236125563565905
2019-04-11,3.8123067008344336e-05,0.9882618997448991,3.648354857602218e-05,0.9865975742677214,3.6612616532339546e-05
2019-04-12,0.006609324208602496,0.9858778476454065,0.006514794299117962,0.9841084460288833,0.0065030472121094625
2019-04-15,-0.0006293691084816588,0.9823968099599252,-0.0006200307233024443,0.9786185385019891,-0.0006186572308840678
2019-04-16,0.0005093580038946222,0.9876167081599966,0.0005004405259813177,0.985988086673602,0.0004985361496061371
2019-04-17,-0.0022738117853239315,0.9775135849818359,-0.002227733471435025,0.9737053089165066,-0.00222016399572538
2019-04-18,0.0015790922795098083,0.9775135849818359,0.001543584155160772,0.9737053089165066,0.0015375705358277685
2019-04-22,0.001012017561471401,0.9882618997448991,0.0009947642404933954,0.9864163784980934,0.0009919151631722976
2019-04-23,0.008841205788409079,0.9779208960985465,0.008640829385369487,0.9760100310836148,0.008623902362654541
2019-04-24,-0.002191763174733685,0.9873730059678424,-0.002168813849141068,0.9853130527253502,-0.0021642243753687202
2019-04-25,-0.0003689736527457965,0.9853794563024983,-0.0003645758321652718,0.98425207460609,-0.00036369357224966736
2019-04-26,0.0046852921407636305,0.9775135849818359,0.004576003781544746,0.9751675566005029,0.004564402629865215
2019-04-29,0.001071522174355355,0.9823968099599252,0.0010502183533989788,0.9786185385019891,0.001046885973289368
2019-04-30,0.0009514170090862972,0.9876167081599966,0.0009370253855012027,0.985988086673602,0.0009344010623319127
2019-05-01,-0.007502163081421376,0.9862526493909921,-0.007399710244599623,0.9843007367842431,-0.007385228323463287
2019-05-02,-0.0021239857917741967,0.9858778476454065,-0.0020941779416965623,0.9845985564642439,-0.0020914222543714383
2019-05-03,0.009638279380647763,0.9858778476454065,0.009502166130798118,0.9841084460288833,0.009484867088463817
2019-05-06,-0.004470988428756373,0.988929834847059,-0.004423019842053978,0.9865975742677214,-0.004412310902509507
2019-05-07,-0.016511651392423388,0.9858778476454065,-0.016279997329434474,0.9845985564642439,-0.016258347634722628
2019-05-08,-0.0016054253132695706,0.9791924193666804,-0.0015753630107523048,0.9820484671767467,-0.0015778805127068787
2019-05-09,-0.0030214249424966866,0.9831236502959985,-0.0029723999340273786,0.9836109972304845,-0.0029726880657730942
2019-05-10,0.0037202972597878414,0.9831236502959985,0.0036575122222288234,0.9841162018325983,0.0036609522066895768
2019-05-13,-0.02413055719884427,0.9830677328854083,-0.0237220001174348,0.9839085023028754,-0.023742364243013597
2019-05-14,0.008015944543135589,0.8367510143279019,0.006634191367986162,0.9041076916602324,0.007207376712049432
2019-05-15,0.00583897507464215,0.9753866352751727,0.0056259404410371715,0.9755895033101013,0.005660701887085263
2019-05-16,0.008895287120600504,0.980147165800143,0.008716310194972614,0.9808356568966737,0.00872219170942543
2019-05-17,-0.005837333350761975,0.9841647410827432,-0.005746906453407621,0.9818681472203584,-0.005732007926982109
2019-05-20,-0.0067493779153879885,0.9798428232822572,-0.006615490470912926,0.9803880696417387,-0.006617749624539123
2019-05-21,0.008495835590448308,0.9806231101188871,0.008330822576345837,0.9801106609033644,0.008326720331111431
